,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,,Explanation,Reference
CLMAT3,0,2.444502882,0.415,0.063,0,,,
RFTN1,0,1.121246919,0.559,0.208,0,,,
HIVEP3,0,0.896152049,0.675,0.324,0,,,
ADCY6,0,2.123100459,0.421,0.071,0,,,
CDON,0,-3.690082084,0.137,0.487,0,,,
PCOLCE2,0,0.751839141,0.687,0.338,0,,,
FAM49B,0,0.920996968,0.604,0.255,0,,,
GLYAT,0,5.353628676,0.354,0.005,0,,,
HIPK2,0,1.214371855,0.508,0.159,0,,,
CEP126,0,1.591451271,0.448,0.1,0,,,
PLXDC2,0,-2.63822143,0.338,0.685,0,,,
COX14,0,3.071372323,0.379,0.032,0,,,
LGALS12,0,5.06588126,0.355,0.008,0,,,
LNPEP,0,1.024461364,0.569,0.222,0,,,
FMNL2,0,0.536664726,0.685,0.34,0,,,
MME,0,3.540763211,0.374,0.029,0,,,
SORBS2,0,-4.239243767,0.069,0.414,0,,,
CFLAR,0,0.709358109,0.771,0.427,0,,,
DGAT2,0,2.827593734,0.388,0.045,0,,,
TSPAN15,0,2.677994305,0.383,0.04,0,,,
GTF2I,0,0.899869279,0.615,0.272,0,,,
MCCC1,0,1.435774556,0.485,0.142,0,,,
FAM214A,0,0.873452728,0.658,0.316,0,,,
FAM155A,0,-3.816570925,0.137,0.479,0,,,
MCAM,0,1.999505061,0.4,0.059,0,,,
C14orf180,0,4.880966895,0.348,0.007,0,,,
RTN4,0,0.727530662,0.817,0.476,0,,,
LINC02202,0,2.477056492,0.382,0.042,0,,,
AC012349.1,0,6.135497024,0.349,0.009,0,,,
PDXK,0,1.603021697,0.483,0.144,0,,,
NTM,0,0.678098932,0.66,0.322,0,,,
AL157392.3,0,2.032693331,0.417,0.079,0,,,
CEPT1,0,1.190863256,0.507,0.169,0,,,
IDH1,0,2.200180341,0.429,0.091,0,,,
MYCBP2,0,0.991282492,0.808,0.471,0,,,
BCL2L13,0,1.157880218,0.517,0.18,0,,,
TMEM120B,0,1.784848538,0.438,0.102,0,,,
KANK1,0,0.512412337,0.645,0.31,0,,,
ETFA,0,0.928330719,0.568,0.233,0,,,
SPTBN1,0,1.08938355,0.937,0.603,0,,,
BCKDHB,0,1.165569784,0.511,0.177,0,,,
FOXJ3,0,0.811303565,0.646,0.312,0,,,
UVRAG,0,1.045448447,0.782,0.448,0,,,
AKT3,0,-2.559104118,0.236,0.57,0,,,
TULP4,0,1.623860597,0.465,0.132,0,,,
CACNA2D1,0,0.564563913,0.72,0.387,0,,,
EMC3,0,0.930106289,0.536,0.206,0,,,
LAMC1,0,0.633272757,0.615,0.285,0,,,
PCCA,0,0.644065197,0.712,0.382,0,,,
AC103876.1,0,-5.456215443,0.035,0.363,0,,,
ZBTB20-AS5,0,0.70584735,0.613,0.286,0,,,
GLIS3,0,-3.863844732,0.085,0.412,0,,,
PCED1B,0,0.652260611,0.581,0.254,0,,,
TAPT1-AS1,0,1.394311758,0.469,0.142,0,,,
DENND5B,0,0.932267905,0.555,0.229,0,,,
PDE5A,0,0.851093134,0.662,0.336,0,,,
QKI,0,0.649173233,0.798,0.473,0,,,
AC008840.1,0,4.741018507,0.337,0.012,0,,,
MYO1D,0,-3.617621597,0.088,0.412,0,,,
PLOD2,0,1.203126763,0.533,0.21,0,,,
PICALM,0,0.65229963,0.756,0.433,0,,,
KCNT2,0,-4.017844925,0.075,0.397,0,,,
ACYP2,0,0.600863689,0.693,0.371,0,,,
ENOSF1,0,0.806740775,0.561,0.24,0,,,
ELOVL5,0,1.585773846,0.427,0.106,0,,,
NHLRC3,0,1.163752843,0.523,0.202,0,,,
CFLAR-AS1,0,1.029111,0.492,0.172,0,,,
CRYBG1,0,2.109498567,0.379,0.059,0,,,
CYB5A,0,1.640600617,0.432,0.112,0,,,
PDZD2,0,0.577931666,0.748,0.428,0,,,
UBA2,0,0.991920376,0.502,0.182,0,,,
YWHAG,0,1.681709879,0.419,0.099,0,,,
HEG1,0,-3.676284643,0.107,0.426,0,,,
SLIT2,0,-3.401930981,0.125,0.444,0,,,
INTU,0,0.873245895,0.529,0.211,0,,,
WDR20,0,0.933150729,0.52,0.202,0,,,
CDHR3,0,2.153522799,0.37,0.053,0,,,
MCTP2,0,-4.437111933,0.054,0.371,0,,,
ALDH1A2,0,-4.256740835,0.057,0.373,0,,,
LDB2,0,-3.84883346,0.117,0.433,0,,,
PTEN,0,1.054697761,0.773,0.457,0,,,
GOLGA4,0,0.604982538,0.729,0.414,0,,,
HEPN1,0,3.619562679,0.332,0.017,0,,,
PRKN,0,0.491698914,0.775,0.46,0,,,
PDK4,0,1.250100506,0.65,0.336,0,,,
C9orf84,0,0.577910025,0.64,0.327,0,,,
DOCK11,0,0.615599811,0.645,0.332,0,,,
DGKI,0,4.002964189,0.33,0.018,0,,,
EPB41L4B,0,3.211212275,0.344,0.032,0,,,
CLMN,0,1.28312032,0.455,0.144,0,,,
MYOM1,0,2.350299228,0.361,0.05,0,,,
FAM89A,0,2.902078899,0.338,0.028,0,,,
11-Sep,0,0.753133931,0.516,0.207,0,,,
C8orf34,0,2.693311515,0.344,0.035,0,,,
LPGAT1,0,0.960198733,0.515,0.207,0,,,
CCBE1,0,-4.491555939,0.056,0.364,0,,,
NTNG1,0,-4.347761564,0.052,0.36,0,,,
PCNX1,0,0.684211527,0.638,0.33,0,,,
EIF2B3,0,1.060044136,0.468,0.161,0,,,
AL357153.2,0,1.764238401,0.392,0.085,0,,,
CADPS2,0,-3.869894456,0.065,0.372,0,,,
ITGB1BP1,0,1.028052636,0.479,0.172,0,,,
SLC7A10,0,4.584635079,0.314,0.007,0,,,
SLCO3A1,0,-3.982527895,0.054,0.361,0,,,
AC138123.2,0,3.233905672,0.332,0.026,0,,,
BTG1,0,1.017296878,0.491,0.185,0,,,
C9orf147,0,2.0594102,0.37,0.064,0,,,
CAPN7,0,0.639926065,0.623,0.317,0,,,
GSDMB,0,2.54432308,0.353,0.047,0,,,
MTHFD1,0,2.035747337,0.37,0.064,0,,,
CRY2,0,1.56138541,0.401,0.097,0,,,
NIPSNAP3B,0,2.97937051,0.339,0.035,0,,,
SVIL,0,0.739128382,0.532,0.228,0,,,
AC026333.3,0,4.383244327,0.314,0.01,0,,,
CABLES1,0,1.518654761,0.442,0.139,0,,,
HEBP2,0,1.696257406,0.381,0.078,0,,,
HELZ,0,0.542028417,0.694,0.391,0,,,
SPAG16,0,1.290729157,0.447,0.145,0,,,
TRIO,0,0.551047288,0.753,0.451,0,,,
CC2D2A,0,1.000418928,0.534,0.233,0,,,
C6,0,2.712291303,0.357,0.056,0,,,
KLHL31,0,3.487983088,0.324,0.023,0,,,
MREG,0,3.269198443,0.325,0.024,0,,,
APMAP,0,1.790971751,0.372,0.072,0,,,
CRTC3,0,0.840867137,0.497,0.197,0,,,
RAD23B,0,0.591927861,0.6,0.3,0,,,
SLC8A1,0,-3.004070643,0.293,0.593,0,,,
STAT5B,0,0.878893136,0.487,0.187,0,,,
FASN,0,2.548252349,0.334,0.035,0,,,
SULF1,0,-3.119696596,0.237,0.536,0,,,
PKN2,0,0.55755198,0.766,0.467,0,,,
LINC01481,0,1.444053408,0.432,0.134,0,,,
OSBPL1A,0,0.666211471,0.564,0.266,0,,,
AL139260.1,0,1.254260796,0.432,0.135,0,,,
SH3D19,0,0.63349616,0.752,0.455,0,,,
COPA,0,0.746352671,0.541,0.245,0,,,
TNFAIP8,0,1.138367823,0.495,0.199,0,,,
CSGALNACT1,0,-3.649615485,0.09,0.385,0,,,
NWD2,0,5.493834437,0.301,0.006,0,,,
SPARC,0,0.444696994,0.705,0.41,0,,,
RREB1,0,0.611477684,0.583,0.289,0,,,
SHISA6,0,2.163115636,0.37,0.076,0,,,
GTDC1,0,0.757068168,0.491,0.198,0,,,
DLG1,0,0.537866437,0.699,0.406,0,,,
AC107021.1,0,1.693630222,0.415,0.123,0,,,
CELF1,0,0.419227146,0.635,0.343,0,,,
PARVA,0,0.55838585,0.591,0.299,0,,,
RDH10-AS1,0,1.503335376,0.377,0.085,0,,,
EPS8,0,0.599875839,0.632,0.341,0,,,
PCSK5,0,0.816774223,0.609,0.318,0,,,
RCL1,0,1.581082842,0.392,0.102,0,,,
ZNF680,0,0.798393886,0.503,0.213,0,,,
ZNF160,0,1.450370751,0.416,0.126,0,,,
AKAP12,0,0.905374365,0.487,0.198,0,,,
MAP3K20,0,0.744976494,0.49,0.201,0,,,
PQLC2L,0,2.848065618,0.312,0.023,0,,,
UBR3,0,0.466584648,0.689,0.4,0,,,
PABPN1,0,0.906704875,0.46,0.172,0,,,
AP003086.2,0,0.682216868,0.592,0.304,0,,,
AKT2,0,1.473328211,0.393,0.106,0,,,
ST3GAL5,0,-3.243595315,0.098,0.385,0,,,
STAT5A,0,2.335533401,0.335,0.048,0,,,
CHKA,0,1.636680382,0.371,0.084,0,,,
PTPN4,0,0.849822932,0.476,0.189,0,,,
ST6GAL1,0,-3.919131471,0.058,0.345,0,,,
ITGA1,0,0.957355703,0.391,0.105,0,,,
WT1,0,-4.178292311,0.039,0.325,0,,,
AC098864.1,0,4.502991608,0.294,0.008,0,,,
MYO1C,0,1.167135664,0.416,0.13,0,,,
SEMA5A,0,-3.765628703,0.075,0.361,0,,,
